ticker,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
CSM,Proshares Large Cap Core Plus,Equity,"$808,277,098.00 ",0.17%,"19,545",$77.31 ,-0.50%,No,No,0.06%,2.46%,32.11%,46.11%,65.33%,$0.00 ,$0.00 ,"($5,351,544.40)","($75,556,380.70)","$42,038,594.55 ","($7,423,160.45)",Long-Short,7/13/2009,0.45%,Charles Schwab,$1.39 ,12/24/2019,$0.32 ,1.78%,19.62,1.03,306,15.95%,35%,15%,1099,$74.60 ,$78.04 ,$77.13 ,$77.49 ,67.58,A-,A-,B-,A-,B-,B+,A,5.45,41.31%,48.48%,258.27,10.05%,5.16%
GDVD,Principal Active Global Dividend Income ETF,Equity,"$802,909,266.00 ",-0.71%,"14,017",$29.84 ,-1.03%,No,No,-0.97%,2.37%,28.24%,N/A,N/A,$0.00 ,$0.00 ,$0.00 ,"$28,876,825.50 ","$534,270,857.00 ","$534,270,857.00 ",Large Cap Blend Equities,5/9/2017,0.58%,N/A,$0.83 ,12/27/2019,$0.24 ,2.75%,17.63,0.9,60,31.15%,39%,20%,1099,$28.86 ,$30.46 ,$29.80 ,$29.91 ,60.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.33,43.75%,72.91%,137.4,7.72%,5.29%
SMDV,ProShares Russell 2000 Dividend Growers ETF,Equity,"$802,851,308.00 ",-0.57%,"43,859",$61.44 ,-0.08%,No,No,-0.37%,0.70%,18.24%,21.25%,N/A,"$1,236,611.40 ","$4,936,122.60 ","$19,131,128.20 ","$268,242,732.95 ","$377,105,864.95 ","$688,124,380.38 ",Small Cap Growth Equities,2/5/2015,0.40%,N/A,$1.63 ,12/24/2019,$0.41 ,2.65%,21.74,0.72,64,16.80%,35%,15%,1099,$60.50 ,$62.33 ,$61.09 ,$61.64 ,56.2,N/A,N/A,B-,N/A,N/A,N/A,N/A,3.68,28.08%,14.44%,317.79,3.09%,5.66%
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,Volatility,"$799,781,482.00 ",1.12%,"33,032,804",$15.29 ,5.38%,No,No,0.39%,-8.61%,-67.91%,N/A,N/A,"($4,435,158.19)","($31,394,316.88)","($73,886,146.00)","$1,171,102,686.41 ","($1,741,288,857.87)","$123,905,312.01 ",Volatility,1/17/2018,0.89%,N/A,$0.00 ,N/A,N/A,0.00%,0,-4.11,1,100.00%,35%,15%,1099,$13.82 ,$17.72 ,$14.91 ,$15.70 ,40.59,B+,A+,A-,B-,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BSCO,Invesco BulletShares 2024 Corporate Bond ETF,Bond,"$799,621,068.00 ",0.28%,"228,016",$21.53 ,0.23%,No,No,0.23%,0.77%,10.62%,15.63%,22.04%,"$6,429,378.00 ","$35,341,498.50 ","$99,512,085.00 ","$429,081,346.50 ","$638,279,517.00 ","$755,269,869.00 ",Corporate Bonds,9/17/2014,0.10%,Charles Schwab,$0.74 ,12/23/2019,$0.05 ,3.44%,0,0.04,228,21.23%,35%,15%,1099,$21.31 ,$21.50 ,$21.50 ,$21.55 ,65.11,B-,B+,B-,B-,B,A-,B-,4.87,59.91%,35.80%,338.42,6.71%,2.77%
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Equity,"$797,815,040.00 ",0.56%,"74,433",$48.52 ,-0.68%,No,No,-0.04%,4.09%,29.87%,56.16%,78.73%,"$4,885,902.00 ","$4,885,902.00 ","$2,499,365.00 ","$84,152,029.00 ","$446,481,580.50 ","$440,330,220.50 ",Consumer Discretionary Equities,10/21/2013,0.08%,Fidelity,$0.55 ,12/20/2019,$0.14 ,1.13%,24.03,1.08,285,54.96%,35%,15%,1099,$46.09 ,$49.07 ,$48.27 ,$48.69 ,64.86,N/A,N/A,A,N/A,N/A,N/A,N/A,4.78,40.83%,33.93%,43.59,26.81%,2.41%
INDY,iShares India 50 ETF,Equity,"$788,130,730.00 ",-0.83%,"65,844",$38.30 ,-1.97%,No,No,-0.65%,1.06%,11.66%,42.14%,28.90%,$0.00 ,$0.00 ,$0.00 ,"($51,032,052.50)","($186,340,138.50)","($146,792,570.50)",Asia Pacific Equities,11/18/2009,0.94%,Fidelity,$0.24 ,6/17/2019,$0.23 ,0.61%,23.9,0.51,51,61.13%,35%,15%,1099,$37.83 ,$39.26 ,$38.22 ,$38.46 ,51.87,B-,A-,C,C+,A-,C,B-,4.95,83.96%,37.60%,536.55,9.46%,3.74%
SOXL,Direxion Daily Semiconductor Bull 3x Shares,Equity,"$786,494,494.00 ",0.50%,"804,655",$276.19 ,-5.40%,No,3x,-0.96%,23.43%,295.06%,391.10%,731.89%,$0.00 ,$0.00 ,"($48,888,812.00)","($576,960,165.00)","($302,008,179.00)","($407,956,853.05)",Leveraged Equities,3/11/2010,0.99%,N/A,$1.32 ,12/23/2019,$0.29 ,0.45%,25.14,4.41,31,62.08%,35%,15%,1099,$213.15 ,$304.77 ,$272.45 ,$281.61 ,62.5,B,A-,B,C+,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JKG,iShares Morningstar Mid-Cap ETF,Equity,"$786,288,000.00 ",-0.01%,"10,228",$209.54 ,-0.12%,No,No,0.00%,1.91%,34.46%,39.22%,53.74%,$0.00 ,$0.00 ,$0.00 ,"($27,146,352.00)","($76,313,340.00)","$153,345,593.00 ",Mid Cap Growth Equities,6/28/2004,0.25%,N/A,$2.77 ,12/16/2019,$0.73 ,1.32%,22.38,1.05,185,11.95%,35%,15%,1099,$204.37 ,$211.08 ,$208.46 ,$210.20 ,64.28,C+,C+,B+,C,A-,C+,C+,5.1,89.98%,40.60%,203.54,8.32%,6.01%
NANR,SPDR S&P North American Natural Resources ETF,Equity,"$783,454,538.00 ",-0.50%,"30,803",$33.57 ,-0.33%,No,No,0.34%,6.45%,18.67%,5.97%,N/A,$0.00 ,"$6,690,674.00 ","$4,939,268.25 ","$69,348,721.75 ","($69,357,371.75)","$521,924,247.75 ",Commodity Producers Equities,12/15/2015,0.35%,N/A,$0.68 ,12/20/2019,$0.40 ,2.02%,21.82,0.9,40,59.06%,39%,20%,1099,$31.04 ,$34.30 ,$33.43 ,$33.86 ,70.83,N/A,N/A,A,N/A,N/A,N/A,N/A,6.17,80.00%,69.15%,536.59,3.64%,0.10%
REGL,ProShares S&P MidCap 400 Dividend Aristocrats ETF,Equity,"$782,026,928.00 ",-0.58%,"48,139",$59.87 ,-0.27%,No,No,-0.58%,0.78%,20.06%,25.88%,N/A,"($1,200,996.20)","$604,795.90 ","$13,158,263.30 ","$282,276,800.40 ","$382,385,172.90 ","$668,570,173.03 ",Small Cap Growth Equities,2/5/2015,0.40%,N/A,$1.45 ,12/24/2019,$0.35 ,2.41%,19.1,0.85,51,22.01%,39%,20%,1099,$58.97 ,$60.71 ,$59.56 ,$60.07 ,55.55,C+,B,B-,N/A,C+,B-,N/A,3.66,27.08%,14.22%,171.39,0.00%,3.26%
PFXF,VanEck Vectors Preferred Securities ex Financials ETF,Preferred Stock,"$779,959,403.00 ",0.59%,"168,642",$20.34 ,0.35%,No,No,0.59%,3.23%,19.80%,25.37%,30.92%,"$3,023,218.50 ","$6,045,964.50 ","$10,042,471.00 ","$222,846,800.00 ","$342,546,916.50 ","$579,792,126.00 ",Preferred Stock/Convertible Bonds,7/16/2012,0.41%,N/A,$1.08 ,12/30/2019,$0.15 ,5.34%,0,0.25,128,23.95%,35%,15%,1099,$19.62 ,$20.41 ,$20.28 ,$20.38 ,74.67,B,B+,A+,N/A,B-,B+,B+,4.03,16.88%,18.83%,1146.49,18.94%,3.78%
OIH,VanEck Vectors Oil Services ETF,Equity,"$779,805,151.00 ",1.96%,"9,628,545",$13.51 ,1.43%,No,No,1.58%,11.90%,-4.70%,-56.53%,-58.02%,"($32,530,154.00)","($65,214,482.00)","($2,858,450.50)","($403,265,070.00)","$379,424,377.50 ","$794,242,850.46 ",Energy Equities,12/20/2011,0.35%,N/A,$0.29 ,12/23/2019,$0.29 ,2.18%,18.03,1.76,26,67.64%,35%,15%,1099,$11.72 ,$13.99 ,$13.34 ,$13.67 ,65.29,B+,A,A-,B+,B,B+,C,4.39,23.53%,24.47%,156.14,0.00%,0.13%
IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,Equity,"$779,365,000.00 ",0.13%,"10,152",$147.12 ,-0.26%,No,No,-0.06%,2.02%,29.73%,35.40%,57.86%,$0.00 ,$0.00 ,"($11,521,000.00)","($27,785,500.00)","$13,692,000.00 ","$196,693,500.00 ",Small Cap Growth Equities,9/9/2010,0.15%,Vanguard,$1.72 ,12/16/2019,$1.72 ,1.17%,24.7,1.02,232,11.65%,35%,15%,1099,$142.42 ,$148.53 ,$146.10 ,$147.71 ,64.56,A,B+,A,A+,B+,A-,A,4.43,68.25%,25.25%,160.63,3.80%,4.65%
XHB,SPDR S&P Homebuilders ETF,Equity,"$774,742,190.00 ",-0.22%,"1,794,792",$45.41 ,-0.53%,No,No,-0.31%,-1.05%,41.45%,38.00%,39.77%,"$20,537,689.50 ","$31,927,357.00 ","($70,976,830.00)","$23,963,657.00 ","($646,860,239.50)","($886,101,530.92)",Building & Construction ,2/6/2006,0.35%,N/A,$0.40 ,12/20/2019,$0.10 ,0.89%,15.73,1.11,36,44.96%,35%,15%,1099,$45.28 ,$45.96 ,$45.20 ,$45.56 ,50.1,A+,A+,A+,A+,A-,A+,A,5.8,50.51%,58.30%,88.24,0.00%,8.13%
RYH,Invesco S&P 500® Equal Weight Health Care ETF,Equity,"$769,160,385.00 ",-0.79%,"13,520",$219.71 ,-0.96%,No,No,-1.07%,0.61%,28.46%,52.96%,57.67%,"($24,481.00)","($11,046,375.50)","($11,083,783.00)","($28,316,625.00)","$95,027,808.00 ","$131,202,452.50 ",Health & Biotech Equities,11/7/2006,0.40%,Charles Schwab,$1.52 ,12/23/2019,$0.32 ,0.68%,16.74,1.02,62,17.24%,35%,15%,1099,$215.72 ,$223.64 ,$218.78 ,$220.69 ,59.61,B,C+,B+,B+,A,B-,B,5.42,64.34%,47.82%,18.33,0.00%,13.62%
MLPI,UBS E-TRACS Alerian MLP Infrastructure ETN,Equity,"$762,946,560.00 ",2.21%,"987,938",$19.85 ,0.86%,No,No,1.33%,11.64%,4.88%,-16.14%,-34.41%,"($33,496,120.00)","($45,268,300.00)","($146,441,060.00)","($464,199,887.00)","($951,743,178.90)","($179,682,609.54)",MLPs,3/31/2010,0.85%,N/A,$1.55 ,10/10/2019,$0.39 ,7.82%,0,1.07,20,74.63%,35%,15%,1099,$17.83 ,$20.32 ,$19.67 ,$19.95 ,60.63,A,A,B+,A-,B-,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TVIX,VelocityShares Daily 2x VIX Short Term ETN,Volatility,"$760,712,770.00 ",1.09%,"4,401,110",$51.88 ,9.61%,No,2x,-0.56%,-18.49%,-92.87%,-99.46%,-99.99%,"$12,448,350.00 ","$12,448,350.00 ","$30,570,644.00 ","$2,051,544,021.61 ","$2,548,867,652.60 ","$3,844,960,249.31 ",Leveraged Volatility,11/29/2010,1.65%,N/A,$0.00 ,N/A,N/A,0.00%,0,-7.77,1,100.00%,35%,15%,1099,$41.63 ,$71.10 ,$49.66 ,$54.54 ,38.37,C+,A,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PID,Invesco International Dividend Achievers™ ETF,Equity,"$760,110,763.00 ",0.09%,"85,459",$17.08 ,-0.70%,No,No,0.00%,5.03%,25.92%,32.73%,18.77%,$0.00 ,$0.00 ,"($46,066.50)","($54,363,173.00)","($85,988,383.50)","($556,728,532.00)",Large Cap Blend Equities,9/15/2005,0.54%,Charles Schwab,$0.83 ,12/23/2019,$0.21 ,4.84%,12.84,0.89,64,32.10%,35%,15%,1099,$16.12 ,$17.41 ,$17.02 ,$17.12 ,67.67,B-,A-,C+,B-,B,A,C,6.32,43.12%,72.51%,482.23,4.58%,1.66%
SPMB,SPDR Portfolio Mortgage Backed Bond ETF,Bond,"$759,478,680.00 ",0.84%,"172,622",$26.33 ,0.65%,No,No,0.65%,0.83%,6.37%,10.42%,12.27%,"$5,224,618.00 ","$7,836,211.00 ","$28,724,317.00 ","$452,942,304.00 ","$452,942,304.00 ","$452,942,304.00 ",Mortgage Backed Securities,1/15/2009,0.06%,N/A,$0.85 ,12/20/2019,$0.07 ,3.24%,0,-0.03,771,56.55%,39%,20%,1099,$26.02 ,$26.21 ,$26.22 ,$26.41 ,64.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XSOE,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,Equity,"$758,679,728.00 ",0.13%,"147,344",$31.26 ,-1.64%,No,No,-0.06%,5.99%,27.76%,51.79%,42.76%,$0.00 ,"$46,767,735.00 ","$56,075,361.00 ","$433,221,885.00 ","$695,830,690.00 ","$688,136,655.89 ",Emerging Markets Equities,12/10/2014,0.32%,E*TRADE,$0.71 ,12/23/2019,$0.13 ,2.27%,18.46,1.06,519,32.05%,35%,15%,1099,$29.07 ,$32.13 ,$31.18 ,$31.40 ,65.2,A-,C,B+,B,B-,A,A,4.55,55.64%,27.32%,188.9,1.97%,4.66%
IVOV,Vanguard S&P Mid-Cap 400 Value ETF,Equity,"$755,703,000.00 ",-0.63%,"12,036",$129.27 ,-0.49%,No,No,-0.43%,1.59%,26.20%,23.37%,45.64%,$0.00 ,$0.00 ,"($4,752,500.00)","$12,739,000.00 ","$58,380,500.00 ","$490,532,750.00 ",Small Cap Value Equities,9/9/2010,0.15%,Vanguard,$2.28 ,12/16/2019,$2.27 ,1.75%,16.5,1.13,296,9.77%,35%,15%,1099,$126.19 ,$131.61 ,$128.63 ,$129.65 ,59.05,A-,C,A,B,A+,A-,A-,3.99,43.99%,18.31%,219.19,6.70%,5.62%
MDIV,First Trust Multi-Asset Diversified Income Index Fund,Multi-Asset,"$752,260,437.00 ",0.05%,"88,934",$18.80 ,-0.11%,No,No,0.03%,2.89%,18.01%,18.05%,18.99%,$0.00 ,"$1,877,934.00 ","$3,748,924.50 ","$110,928,495.00 ","($71,724,588.00)","($14,242,549.68)",Diversified Portfolio,8/14/2012,0.71%,N/A,$1.11 ,12/13/2019,$0.09 ,5.90%,13.37,0.59,127,30.57%,35%,15%,1099,$18.17 ,$18.99 ,N/A,N/A,65.58,A+,A,B+,B,B-,A,A+,3.49,11.11%,12.22%,568.68,2.73%,1.37%
IBDP,iShares iBonds Dec 2024 Corporate ETF,Bond,"$752,160,815.00 ",0.27%,"156,614",$25.76 ,0.19%,No,No,0.31%,0.78%,10.72%,15.90%,N/A,"$14,104,882.00 ","$16,667,541.00 ","$60,107,043.00 ","$387,548,564.00 ","$651,123,676.50 ","$715,134,060.00 ",Corporate Bonds,3/11/2015,0.10%,N/A,$0.81 ,12/19/2019,$0.06 ,3.15%,0,0.06,486,7.07%,39%,20%,1099,$25.49 ,$25.72 ,$25.72 ,$25.80 ,66.73,B+,B,A-,N/A,B-,A,B,4.64,37.39%,29.19%,404.79,8.05%,2.78%
TNA,Direxion Daily Small Cap Bull 3X Shares,Equity,"$747,262,608.00 ",-1.18%,"2,436,931",$71.14 ,-1.32%,No,3x,-1.44%,4.94%,76.69%,42.06%,80.58%,"($18,031,377.50)","($7,261,262.00)","($23,470,223.00)","($477,503,772.00)","$180,895,890.79 ","($168,670,489.34)",Leveraged Equities,11/5/2008,1.14%,N/A,$0.45 ,12/23/2019,$0.15 ,0.63%,18,3.45,2,100.00%,35%,15%,1099,$65.96 ,$74.73 ,$69.80 ,$72.05 ,61.24,B,A,C,C,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PHB,Invesco Fundamental High Yield® Corporate Bond ETF,Bond,"$746,269,128.00 ",0.16%,"302,203",$19.29 ,0.16%,No,No,0.21%,1.32%,13.81%,16.37%,27.55%,"$7,700,031.00 ","$11,548,115.00 ","$7,677,093.00 ","($110,419,019.00)","($436,400,674.00)","$116,959,554.00 ",High Yield Bonds,11/15/2007,0.50%,Charles Schwab,$0.85 ,12/23/2019,$0.06 ,4.42%,0,0.27,231,11.78%,35%,15%,1099,$19.01 ,$19.34 ,$19.26 ,$19.30 ,79.27,B,A,B-,C+,B,B+,B+,3.62,82.98%,13.64%,310.2,5.86%,3.16%
PWB,Invesco Dynamic Large Cap Growth ETF,Equity,"$730,648,504.00 ",0.18%,"43,745",$51.48 ,-0.48%,No,No,-0.29%,2.92%,28.68%,64.67%,82.93%,$0.00 ,"($2,566,174.00)","($5,059,673.50)","($34,276,452.50)","$77,424,564.00 ","$148,820,602.50 ",Large Cap Growth Equities,3/3/2005,0.55%,N/A,$0.46 ,12/23/2019,$0.05 ,0.89%,26.16,0.92,51,34.21%,35%,15%,1099,$49.48 ,$52.21 ,$51.26 ,$51.67 ,65.2,B+,B+,B-,A,B+,B-,C+,6.52,91.22%,76.69%,92.37,4.28%,3.37%
CFO,VictoryShares US 500 Enhanced Volatility Weighted ETF,Equity,"$727,889,342.00 ",-0.02%,"44,766",$52.58 ,-0.44%,No,No,-0.14%,1.99%,22.32%,36.03%,54.42%,$0.00 ,"($2,633,613.50)","($10,481,619.50)","($321,209,853.00)","$377,254,891.50 ","$547,236,771.50 ",Large Cap Growth Equities,7/1/2014,0.35%,N/A,$0.76 ,12/18/2019,$0.15 ,1.44%,20.2,0.94,501,3.30%,35%,15%,1099,$51.11 ,$53.17 ,$52.42 ,$52.68 ,64.19,B+,B+,B,B+,A-,B-,N/A,5.64,55.56%,53.63%,332.43,8.11%,4.85%
CGW,Invesco S&P Global Water Index ETF,Equity,"$718,659,155.00 ",-0.49%,"83,939",$40.93 ,-0.78%,No,No,-0.61%,3.19%,35.43%,51.75%,59.57%,$0.00 ,"$3,290,845.60 ","($12,860,454.40)","$45,171,817.60 ","$68,479,170.40 ","$165,475,084.00 ",Water Equities ,5/14/2007,0.62%,Charles Schwab,$1.27 ,12/23/2019,$0.61 ,3.10%,21.64,0.77,51,51.92%,35%,15%,1099,$39.32 ,$41.67 ,$40.81 ,$41.06 ,66.85,A+,A,A-,A-,A+,A+,A+,7.5,95.88%,92.05%,276.93,1.54%,24.18%
MJ,ETFMG Alternative Harvest ETF,Equity,"$718,625,833.00 ",-2.28%,"886,302",$16.73 ,-1.01%,No,No,2.12%,1.27%,-34.13%,-24.36%,N/A,"$17,676,624.00 ","$35,878,342.00 ","$46,134,616.50 ","$584,335,929.50 ","$971,090,639.50 ","$971,090,639.50 ",Small Cap Blend Equities,12/3/2015,0.75%,N/A,$0.90 ,12/30/2019,$0.32 ,5.35%,0,1.85,37,54.47%,N/A,N/A,N/A,$16.27 ,$17.26 ,$16.54 ,$16.95 ,44.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOO,VanEck Vectors Agribusiness ETF,Equity,"$714,762,757.00 ",-0.63%,"90,034",$68.30 ,-1.06%,No,No,-0.81%,4.07%,23.85%,39.10%,43.03%,$0.00 ,$0.00 ,"($26,622,557.00)","($175,109,609.50)","($324,810,220.50)","($888,149,520.50)",Large Cap Blend Equities,8/31/2007,0.54%,N/A,$0.91 ,12/23/2019,$0.91 ,1.32%,21.21,0.88,52,55.91%,35%,15%,1099,$64.86 ,$69.90 ,$68.16 ,$68.53 ,60.96,A,A,B+,A,A,B+,B+,4.89,32.32%,36.28%,284.23,14.44%,8.78%
SPLB,SPDR Portfolio Long Term Corporate Bond ETF,Bond,"$710,730,516.00 ",0.93%,"363,323",$30.39 ,0.46%,No,No,0.26%,1.26%,24.33%,29.48%,32.51%,"$24,137,432.00 ","$12,013,190.00 ","$57,070,480.00 ","$226,126,065.00 ","$409,247,929.83 ","$409,247,929.83 ",Corporate Bonds,3/10/2009,0.07%,N/A,$1.14 ,12/20/2019,$0.09 ,3.78%,0,0.12,1562,4.10%,39%,20%,1099,$29.94 ,$30.34 ,$30.29 ,$30.46 ,59.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.06,48.03%,39.82%,609.26,14.79%,3.81%
STPZ,PIMCO 1-5 Year U.S. TIPS Index Fund,Bond,"$708,052,166.00 ",0.46%,"26,906",$52.61 ,0.19%,No,No,0.51%,0.90%,4.92%,6.06%,8.30%,$0.00 ,$0.00 ,"($7,849,695.00)","($112,015,623.50)","($375,656,392.50)","($641,684,549.00)",Inflation-Protected Bonds,8/20/2009,0.20%,TD Ameritrade,$0.92 ,12/30/2019,$0.21 ,1.75%,0,0.01,14,85.21%,35%,15%,1099,$52.02 ,$52.54 ,$52.58 ,$52.63 ,70.6,B+,A-,B,A,A-,C,B-,6.7,96.00%,81.14%,0,0.00%,0.00%
PTNQ,Pacer Trendpilot 100 ETF,Multi-Asset,"$703,876,450.00 ",0.99%,"74,934",$40.74 ,-0.71%,No,No,0.49%,4.90%,25.20%,80.29%,N/A,"$4,105,070.00 ","$4,105,070.00 ","$23,846,480.00 ","$207,649,470.00 ","$488,366,269.00 ","$549,682,074.00 ",Large Cap Blend Equities,6/12/2015,0.65%,N/A,$0.32 ,12/24/2019,$0.18 ,0.80%,25.31,0.79,111,52.79%,39%,20%,1099,$38.22 ,$41.26 ,$40.52 ,$40.94 ,69.62,N/A,N/A,C+,N/A,N/A,N/A,B,5.59,0.00%,52.10%,45.69,9.61%,7.68%
IPAY,ETFMG Prime Mobile Payments ETF,Equity,"$702,352,475.00 ",0.67%,"237,458",$49.89 ,-0.82%,No,No,0.12%,2.53%,47.47%,96.35%,N/A,"($7,543,860.00)","($17,423,060.00)","($2,302,445.00)","$221,341,570.00 ","$469,315,505.00 ","$519,364,150.00 ",Technology Equities,7/16/2015,0.75%,N/A,$0.23 ,12/24/2018,$0.23 ,0.47%,26.25,1.15,40,52.03%,35%,15%,1099,$48.03 ,$50.30 ,$49.55 ,$50.18 ,59.64,N/A,N/A,C,N/A,N/A,N/A,N/A,4.15,14.83%,20.41%,8.52,0.00%,0.55%
DVYE,iShares Emerging Markets Dividend ETF,Equity,"$699,702,507.00 ",0.15%,"125,853",$40.68 ,-1.67%,No,No,0.25%,6.03%,15.27%,38.66%,27.76%,$0.00 ,$0.00 ,"$1,993,471.00 ","$121,355,799.50 ","$408,623,714.50 ","$465,891,680.00 ",Emerging Markets Equities,2/23/2012,0.49%,Fidelity,$2.42 ,12/16/2019,$0.46 ,5.92%,8.22,0.78,98,19.99%,35%,15%,1099,$37.98 ,$41.55 ,$40.53 ,$40.87 ,66.1,A-,B+,A-,B-,B+,A,B,3.28,1.56%,9.79%,514.93,3.05%,1.83%
KBWB,Invesco KBW Bank ETF,Equity,"$694,376,520.00 ",-0.58%,"192,359",$57.89 ,-1.28%,No,No,-0.65%,1.72%,33.89%,30.37%,67.58%,"$99,748,350.00 ","$93,926,254.00 ","$76,587,564.50 ","($146,914,973.50)","$5,441,605.00 ","$269,936,903.50 ",Financials Equities,11/1/2011,0.35%,N/A,$1.77 ,12/23/2019,$0.45 ,3.01%,10.96,1.37,25,60.08%,35%,15%,1099,$56.51 ,$59.20 ,$57.55 ,$58.18 ,58.95,C+,A-,B+,A-,B-,C,C,4.32,33.63%,23.36%,9.24,0.00%,0.93%
FDT,First Trust Developed Markets ex-US AlphaDEX Fund,Equity,"$690,705,082.00 ",-0.77%,"53,342",$55.21 ,-1.39%,No,No,-1.16%,1.43%,17.59%,24.67%,29.08%,$0.00 ,$0.00 ,$0.00 ,"($345,950,191.00)","$610,929,911.50 ","$666,822,455.00 ",Foreign Large Cap Equities,4/19/2011,0.80%,N/A,$1.55 ,12/13/2019,$0.63 ,2.77%,10.63,0.93,298,6.34%,35%,15%,1099,$54.02 ,$56.26 ,$55.09 ,$55.45 ,56.51,B,B+,C,A,B+,B-,B+,5.68,53.57%,54.97%,298.25,8.92%,5.80%
CDC,VictoryShares US EQ Income Enhanced Volatility Weighted ETF,Equity,"$680,558,544.00 ",-0.82%,"29,867",$48.62 ,-0.78%,No,No,-0.72%,1.52%,18.77%,29.18%,54.57%,$0.00 ,$0.00 ,"($24,816.50)","($200,318,601.00)","$297,825,190.00 ","$531,074,390.00 ",Large Cap Value Equities,7/1/2014,0.35%,N/A,$1.49 ,12/18/2019,$0.31 ,3.04%,14.82,0.76,101,14.05%,35%,15%,1099,$47.48 ,$49.58 ,$48.52 ,$48.74 ,58.21,B,B-,B+,N/A,A-,C+,N/A,6.04,80.28%,65.37%,783.28,13.50%,4.74%
BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF,Bond,"$673,384,248.00 ",0.08%,"187,445",$24.47 ,0.00%,No,No,0.29%,1.16%,10.88%,14.56%,29.65%,"$9,754,328.00 ","$9,754,328.00 ","$43,871,401.00 ","$366,900,803.00 ","$581,880,123.00 ","$664,019,428.00 ",High Yield Bonds,9/17/2014,0.42%,Charles Schwab,$1.43 ,12/23/2019,$0.09 ,5.85%,0,0.29,158,25.24%,35%,15%,1099,$24.14 ,$24.53 ,$24.43 ,$24.50 ,77.24,N/A,N/A,B+,N/A,N/A,C+,B,3.48,76.60%,12.00%,183.41,5.56%,1.79%
QUS,SPDR MSCI USA StrategicFactors ETF,Equity,"$660,076,536.00 ",0.13%,"43,655",$94.81 ,-0.35%,No,No,-0.02%,2.72%,35.72%,55.36%,N/A,"$6,648,835.80 ","$6,648,835.80 ","$25,485,063.50 ","$446,362,969.60 ","$566,302,246.60 ","$572,571,524.10 ",Large Cap Growth Equities,4/15/2015,0.15%,N/A,$1.72 ,12/20/2019,$1.00 ,1.80%,19.06,0.92,580,20.09%,35%,15%,1099,$91.51 ,$95.79 ,$94.59 ,$95.02 ,68.76,N/A,C+,A,N/A,N/A,B,N/A,5.71,63.46%,55.99%,210.03,7.69%,5.12%
FEM,First Trust Emerging Markets AlphaDEX Fund,Equity,"$651,728,984.00 ",0.48%,"140,284",$26.67 ,-1.04%,No,No,1.40%,8.18%,23.10%,44.32%,44.33%,$0.00 ,$0.00 ,"$1,653,618.50 ","$119,187,156.00 ","$463,645,687.00 ","$136,303,743.47 ",Emerging Markets Equities,4/19/2011,0.80%,N/A,$0.88 ,12/13/2019,$0.09 ,3.28%,9.48,0.95,151,12.87%,35%,15%,1099,$24.25 ,$27.05 ,$26.60 ,$26.75 ,74.49,A-,B+,C+,A-,B,A-,B+,2.26,0.44%,3.33%,1152.61,2.79%,4.17%
PFFD,Global X U.S. Preferred ETF,Preferred Stock,"$649,234,574.00 ",0.96%,"205,577",$25.27 ,0.16%,No,No,0.80%,3.05%,17.44%,N/A,N/A,"$5,010,035.50 ","$10,012,727.50 ","$42,429,995.50 ","$437,208,287.50 ","$623,238,571.50 ","$623,238,571.50 ",Preferred Stock/Convertible Bonds,9/11/2017,0.23%,N/A,$1.37 ,12/30/2019,$0.11 ,5.42%,0,0.17,280,17.35%,39%,20%,1099,$24.46 ,$25.32 ,$25.21 ,$25.32 ,74.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.45,7.79%,11.63%,298.99,5.54%,1.94%
